property,value
standardversion,
identifier,ANO CPUR/АНО ЦПУР
title,Загрязнение поверхностных вод в России: ежемесячные данные о высоком и экстремально высоком загрязнении водных объектов за 2008–2021 гг.
description,"Набор данных включает в себя ежемесячные сведения о загрязнении поверхностных водных объектов на территории России за период с 2008 по 2021 гг. Экстремально высокие загрязнения доступны с детализацией до муниципальных образований; высокие загрязнение – с детализацией до субъекта РФ. Эти сведения публикуются в ежемесячных отчетах Росгидромета на официальном сайте в формате docx-файлов. В ходе подготовки этого датасета, данные были собраны из этих файлов и преобразованы в машиночитаемые таблицы в формате панельных данных, а также обогащены дополнительными атрибутами.
Единица наблюдения в датасете — место, в котором зафиксирован случай или случаи высокого или экстремально высокого загрязнения водного объекта за отчетный период (месяц). Данные для каждого наблюдения приведены по следующим атрибутам: регион, населенный пункт, в котором или вблизи которого произошел случай, наименование загрязняющего вещества или другого индикатора загрязнения, концентрация загрязняющего вещества или значение иного индикатора, класс опасности загрязняющего вещества и др.
Набор состоит из двух основных таблиц и одной вспомогательной: extreme_pollution.csv (основная); 7671 наблюдений по 13 атрибутам за 01.01.2008 – 31.07.2021; high_pollution.csv (основная 10198 наблюдений по 11 атрибутам за 01.01.2008 – 31.07.2021;  pdk.csv (вспомогательная): 212 наблюдений по 10 атрибутам.
Набор доступен для работы в формате CSV (кодировка: «UTF-8», разделитель: «;»)"
creator,Росгидромет
created,
modified,
subject,
format,"CSV (кодировка: «UTF-8», разделитель: «;»)"
provenance,
valid,
publishername,Сёмин Павел Олегович
publisherphone,
publishermbox,p.semin@cpur.ru 
data,
structure,
