field name,english description,russian description,measure,okei_code,format
ingredient,,Название загрязняющего вещества (нормализованное),,,string
ingredient_npa,,Название загрязняющего вещества (исходное из нормативно-правового акта),,,string
hazard_class,,Класс опасности загрязняющего вещества:1 класс – чрезвычайно опасные;2 класс – высоко опасные;3 класс – опасные;4 класс – умеренно опасные;4-э – «экологический» подкласс 4 класса.,,,string
value,,Предельно допустимая концентрация (ПДК),мг/л,,numeric
lpv,,"Лимитирующий показатель вредности (ЛПВ):токc — токсикологический (прямое токсическое действие веществ на водные биологические ресурсы)сан-токс — санитарно-токсикологический (действие вещества на водные биологические ресурсы и санитарные показатели водных объектов рыбохозяйственного значения)общ — общесанитарный;орг — органолептический (образование пленок и пены на поверхности воды водных объектов рыбохозяйственного значения, появление посторонних привкусов и запахов в воде водных объектов рыбохозяйственного значения, выпадение осадка, появление опалесценции, мутности и взвешенных веществ, изменение цвета воды водных объектов). При этом указывается расшифровка характера изменения органолептических свойств воды водных объектов рыбохозяйственного значения: рыб-хоз — рыбохозяйственный (изменение товарных качеств видов водных биологических ресурсов, отнесенных к объектам промышленного и прибрежного рыболовства: появление неприятных и посторонних привкусов и запахов);зап. — изменяет запах воды;мутн. — увеличивает мутность воды;окр. — придает воде окраску, пена - вызывает образование пены;пл. — образует пленку на поверхности воды;привк. — придает воде привкус;",,,string
formula,,Формула вещества,,,string
n_cas,,Регистрационный номер CAS,,,string
npa,,"Сокращённое название нормативно-правового акта (НПА), из которого взята информация. ",,,string
date_start,,"Дата начала действия нормативно-правового акта, указанного в поле npa.",,,date 
date_end,,"Дата завершения действия нормативно-правового акта, указанного в поле npa.",,,date 
